scope,Antibiotic,rank,feature,feature_base,feature_type,importance
all,sulfisoxazole,9,cmla1_coverage,cmla1,coverage,0.02041991613805294
all,sulfisoxazole,10,sul3_lineage_match,sul3,lineage_match,0.01746501959860325
all,sulfisoxazole,11,sul3_coverage,sul3,coverage,0.009218462742865086
all,sulfisoxazole,12,sul3_identity,sul3,identity,0.008992361836135387
all,sulfisoxazole,13,aph_6_id_identity,aph_6_id,identity,0.00862746313214302
all,sulfisoxazole,14,blacmy_2_identity,blacmy_2,identity,0.004015687387436628
all,sulfisoxazole,15,aada2_coverage,aada2,coverage,0.003486907808110118
all,sulfisoxazole,16,tet_c_identity,tet_c,identity,0.002924741245806217
all,sulfisoxazole,17,tet_c_coverage,tet_c,coverage,0.0024375703651458025
all,sulfisoxazole,18,aada1_coverage,aada1,coverage,0.0023742755874991417
all,sulfisoxazole,19,aac_3_via_coverage,aac_3_via,coverage,0.0023214858956635
all,sulfisoxazole,20,aac_3_iid_coverage,aac_3_iid,coverage,0.0022478618193417788
all,tetracycline,1,tet_b_lineage_match,tet_b,lineage_match,0.2520449161529541
all,tetracycline,2,tet_b_identity,tet_b,identity,0.15703245997428894
all,tetracycline,3,tet_b_coverage,tet_b,coverage,0.15021854639053345
all,tetracycline,4,tet_a_coverage,tet_a,coverage,0.10829449445009232
all,tetracycline,5,tet_a_lineage_match,tet_a,lineage_match,0.07156640291213989
all,tetracycline,6,tet_a_identity,tet_a,identity,0.051445938646793365
all,tetracycline,7,tet_c_lineage_match,tet_c,lineage_match,0.04171130806207657
all,tetracycline,8,tet_c_identity,tet_c,identity,0.03629038482904434
all,tetracycline,9,tet_g_coverage,tet_g,coverage,0.028222691267728806
all,tetracycline,10,tet_c_coverage,tet_c,coverage,0.024661727249622345
all,tetracycline,11,tet_g_identity,tet_g,identity,0.02014194428920746
all,tetracycline,12,flor_identity,flor,identity,0.01849636435508728
all,tetracycline,13,blacarb_2_coverage,blacarb_2,coverage,0.006695528514683247
all,tetracycline,14,blacarb_2_identity,blacarb_2,identity,0.003693439532071352
all,tetracycline,15,aada2_coverage,aada2,coverage,0.0018208511173725128
all,tetracycline,16,aada2_identity,aada2,identity,0.001588705345056951
all,tetracycline,17,aph_3_iia_identity,aph_3_iia,identity,0.0011420451337471604
all,tetracycline,18,aac_3_via_coverage,aac_3_via,coverage,0.0011385323014110327
all,tetracycline,19,aac_3_via_identity,aac_3_via,identity,0.0011147470213472843
all,tetracycline,20,aph_6_ic_identity,aph_6_ic,identity,0.0010782988974824548
all,trimethoprim-sulfamethoxazole,1,dfra14_lineage_match,dfra14,lineage_match,0.16673271358013153
all,trimethoprim-sulfamethoxazole,2,dfra14_coverage,dfra14,coverage,0.12273386865854263
all,trimethoprim-sulfamethoxazole,3,dfra14_identity,dfra14,identity,0.09806903451681137
all,trimethoprim-sulfamethoxazole,4,aada2_identity,aada2,identity,0.0586390495300293
all,trimethoprim-sulfamethoxazole,5,blactx_m_15_identity,blactx_m_15,identity,0.03564181923866272
all,trimethoprim-sulfamethoxazole,6,dfra5_identity,dfra5,identity,0.03391845151782036
all,trimethoprim-sulfamethoxazole,7,dfra19_identity,dfra19,identity,0.031519435346126556
all,trimethoprim-sulfamethoxazole,8,sul1_lineage_match,sul1,lineage_match,0.029569244012236595
all,trimethoprim-sulfamethoxazole,9,blactx_m_15_coverage,blactx_m_15,coverage,0.028035635128617287
all,trimethoprim-sulfamethoxazole,10,dfra12_coverage,dfra12,coverage,0.026966996490955353
all,trimethoprim-sulfamethoxazole,11,dfra19_coverage,dfra19,coverage,0.023352444171905518
all,trimethoprim-sulfamethoxazole,12,dfra12_lineage_match,dfra12,lineage_match,0.021614693105220795
all,trimethoprim-sulfamethoxazole,13,dfra5_lineage_match,dfra5,lineage_match,0.019988398998975754
all,trimethoprim-sulfamethoxazole,14,dfra1_coverage,dfra1,coverage,0.019278666004538536
all,trimethoprim-sulfamethoxazole,15,dfra1_identity,dfra1,identity,0.016813935711979866
all,trimethoprim-sulfamethoxazole,16,aada5_identity,aada5,identity,0.015215139836072922
all,trimethoprim-sulfamethoxazole,17,aada5_coverage,aada5,coverage,0.011818947270512581
all,trimethoprim-sulfamethoxazole,18,sul1_coverage,sul1,coverage,0.011277437210083008
all,trimethoprim-sulfamethoxazole,19,dfra15_identity,dfra15,identity,0.009786631911993027
all,trimethoprim-sulfamethoxazole,20,dfra5_coverage,dfra5,coverage,0.009607041254639626
